code,system
1444.00,readv2
212Q.00,readv2
66C4.00,readv2
66CE.00,readv2
9OK..11,readv2
C380.00,readv2
C380000,readv2
C380100,readv2
C380300,readv2
C380400,readv2
C380500,readv2
C380600,readv2
C380700,readv2
C38z000,readv2
ZC2CM00,readv2
ZV65319,readv2
103574.0,med
104129.0,med
104421.0,med
10728.0,med
11401.0,med
13278.0,med
17444.0,med
17477.0,med
22556.0,med
22695.0,med
24755.0,med
25968.0,med
3176.0,med
38059.0,med
38294.0,med
38632.0,med
38658.0,med
38799.0,med
430.0,med
49250.0,med
52782.0,med
59780.0,med
64712.0,med
66406.0,med
69757.0,med
70898.0,med
7984.0,med
8854.0,med
222A.00,readv2
22A5.11,readv2
22K5.00,readv2
22K7.00,readv2
66C..00,readv2
66CZ.00,readv2
9OK..00,readv2
9OK1.00,readv2
9OK2.00,readv2
9OK3.00,readv2
9OK7.00,readv2
9OK8.00,readv2
9OKA.00,readv2
9OKZ.00,readv2
66C1.00,readv2
66C2.00,readv2
66C5.00,readv2
66C6.00,readv2
7611400.0,readv2
7642500.0,readv2
7611500.0,readv2
7611600.0,readv2
7613200.0,readv2
7616600.0,readv2
7613100.0,readv2
7613300.0,readv2
7613400.0,readv2
7613500.0,readv2
7613111.0,readv2
7616013.0,readv2
7613600.0,readv2
7616015.0,readv2
761A500,readv2
ZV45P00,readv2
7614100.0,readv2
7615000.0,readv2
7616000.0,readv2
7633000.0,readv2
7633100.0,readv2
7633200.0,readv2
7633.00,readv2
7633z00,readv2
7633y00,readv2
Cyu7000,readv2
9OK4.00,readv2
9OK5.00,readv2
9OK6.00,readv2
C38..00,readv2
C38z.00,readv2
Cyu7.00,readv2
C380200,readv2
C38y011,readv2
C38y.11,readv2
C38y000,readv2
11461.0,med
16196.0,med
21744.0,med
29538.0,med
32843.0,med
40153.0,med
47439.0,med
49409.0,med
52034.0,med
52036.0,med
52703.0,med
52735.0,med
55585.0,med
55586.0,med
67516.0,med
67517.0,med
70950.0,med
97014.0,med
18863.0,med
19929.0,med
34119.0,med
39123.0,med
39797.0,med
40977.0,med
48417.0,med
56107.0,med
56926.0,med
59622.0,med
60421.0,med
62848.0,med
64123.0,med
7082.0,med
88474.0,med
89148.0,med
89259.0,med
90454.0,med
90517.0,med
90600.0,med
92957.0,med
93378.0,med
95929.0,med
97691.0,med
E66,icd10